"Employee ID","Last Name","First Name","Customer ID","Order ID","Quantity","Price (SRP)","Product ID","Product Name","Order Date","Ship Date","Courier Website","Ship Via","Supplier Name"
"1","Davolio","Nancy","1","1","1","41.9","2201","Triumph Pro Helmet","12/2/2015","12/15/2015","http://www.ups.com","UPS","Triumph"
"3","Leverling","Janet","41","1002","3","1739.85","102181","Mozzie","12/2/2015","12/3/2015","","Pickup","Craze"
"3","Leverling","Janet","41","1002","3","33.9","5205","Xtreme Adult Helmet","12/2/2015","12/3/2015","","Pickup","Craze"
"4","Peacock","Margaret","77","1003","3","53.9","2213","Triumph Vertigo Helmet","12/2/2015","12/14/2015","http://www.ups.com","UPS","Triumph"
"4","Peacock","Margaret","77","1003","3","14.5","5402","Xtreme Anatomic Ladies Saddle","12/2/2015","12/14/2015","http://www.ups.com","UPS","Craze"
"4","Peacock","Margaret","18","1004","3","274.35","402002","Micro Nicros","12/2/2015","12/4/2015","","Pickup","Craze"
"3","Leverling","Janet","64","1005","2","14.5","1101","Active Outdoors Crochet Glove","12/3/2015","12/9/2015","http://www.loomis.com","Loomis","Active Outdoors"
"4","Peacock","Margaret","7","1006","1","33.9","5208","Xtreme Youth Helmet","12/3/2015","12/6/2015","http://www.purolator.com","Purolator","Craze"
"4","Peacock","Margaret","7","1006","1","16.5","1107","Active Outdoors Lycra Glove","12/3/2015","12/6/2015","http://www.purolator.com","Purolator","Active Outdoors"
"4","Peacock","Margaret","7","1006","1","14.5","5402","Xtreme Anatomic Ladies Saddle","12/3/2015","12/6/2015","http://www.purolator.com","Purolator","Craze"
"9","Dodsworth","Anne","32","1007","3","16.5","1109","Active Outdoors Lycra Glove","12/3/2015","12/3/2015","http://www.usps.com","Parcel Post","Active Outdoors"
"4","Peacock","Margaret","11","1008","2","764.85","301161","SlickRock","12/3/2015","12/16/2015","http://www.purolator.com","Purolator","Craze"
"4","Peacock","Margaret","11","1008","1","479.85","302201","Rapel","12/3/2015","12/16/2015","http://www.purolator.com","Purolator","Craze"
"4","Peacock","Margaret","11","1008","1","329.85","303201","Nicros","12/3/2015","12/16/2015","http://www.purolator.com","Purolator","Craze"
"4","Peacock","Margaret","25","1009","2","14.5","1101","Active Outdoors Crochet Glove","12/3/2015","12/12/2015","http://www.loomis.com","Loomis","Active Outdoors"
"1","Davolio","Nancy","54","1010","3","2939.85","101182","Descent","12/3/2015","12/5/2015","http://www.ups.com","UPS","Craze"
"1","Davolio","Nancy","54","1010","2","2939.85","101201","Descent","12/3/2015","12/5/2015","http://www.ups.com","UPS","Craze"
"1","Davolio","Nancy","54","1010","3","281.85","401001","Mini Nicros","12/3/2015","12/5/2015","http://www.ups.com","UPS","Craze"
"4","Peacock","Margaret","71","1011","2","14.5","1102","Active Outdoors Crochet Glove","12/3/2015","12/9/2015","http://www.purolator.com","Purolator","Active Outdoors"
"1","Davolio","Nancy","66","1012","1","2939.85","101171","Descent","12/3/2015","12/7/2015","http://www.loomis.com","Loomis","Craze"
"1","Davolio","Nancy","66","1012","2","2939.85","101172","Descent","12/3/2015","12/7/2015","http://www.loomis.com","Loomis","Craze"
"1","Davolio","Nancy","66","1012","3","479.85","302221","Rapel","12/3/2015","12/7/2015","http://www.loomis.com","Loomis","Craze"
"4","Peacock","Margaret","28","1013","2","539.85","202161","Wheeler","12/3/2015","12/11/2015","http://www.usps.com","Parcel Post","Craze"
"4","Peacock","Margaret","28","1013","3","21.9","3305","Guardian Mini Lock","12/3/2015","12/11/2015","http://www.usps.com","Parcel Post","Guardian"
"1","Davolio","Nancy","8","1014","2","14.5","1103","Active Outdoors Crochet Glove","12/4/2015","12/8/2015","http://www.purolator.com","Purolator","Active Outdoors"
"9","Dodsworth","Anne","72","1015","3","14.5","1104","Active Outdoors Crochet Glove","12/4/2015","12/13/2015","http://www.ups.com","UPS","Active Outdoors"
"3","Leverling","Janet","64","1016","2","281.85","401002","Mini Nicros","12/4/2015","12/10/2015","www.fedex.com","FedEx","Craze"
"4","Peacock","Margaret","38","1017","2","36","7403","Vesper Gelflex ATB Saddle","12/5/2015","12/6/2015","http://www.purolator.com","Purolator","Vesper"
"3","Leverling","Janet","37","1018","2","36","7403","Vesper Gelflex ATB Saddle","12/5/2015","12/8/2015","http://www.loomis.com","Loomis","Vesper"
"3","Leverling","Janet","37","1018","3","14.5","1105","Active Outdoors Crochet Glove","12/5/2015","12/8/2015","http://www.loomis.com","Loomis","Active Outdoors"
"9","Dodsworth","Anne","30","1019","3","14.5","1105","Active Outdoors Crochet Glove","12/5/2015","12/12/2015","http://www.usps.com","Parcel Post","Active Outdoors"
"7","King","Robert","25","1020","2","33.9","5202","Xtreme Adult Helmet","12/5/2015","12/18/2015","www.fedex.com","FedEx","Craze"
"7","King","Robert","76","1021","3","1739.85","102201","Mozzie","12/6/2015","12/18/2015","http://www.purolator.com","Purolator","Craze"
"7","King","Robert","76","1021","2","9","6402","Roadster Micro Mtn Saddle","12/6/2015","12/18/2015","http://www.purolator.com","Purolator","Roadster"
